,importance
num__demand_rolling_mean_3,0.08299024
num__demand_lag_1,0.040518202
num__restock_past_1,0.022949938
cat__fabric_frise,0.02070678
cat__category_kimono dress,0.019073123
num__calendar_week,0.018891465
num__demand_lag_3,0.017120073
cat__fabric_acrylic,0.016715096
cat__shop_label_16,0.016701309
cat__category_maxi,0.016598905
cat__season_SS19,0.015898332
cat__shop_label_12,0.015457767
cat__category_solid color top,0.015123393
cat__shop_label_43,0.014494919
num__price_past_1,0.013734338
cat__color_grey,0.013721294
num__demand_rolling_std_3,0.013115565
cat__color_black,0.013044542
cat__season_AW18,0.012649793
cat__fabric_nice,0.012475401
cat__shop_label_75,0.012214493
cat__shop_label_13,0.0117642665
num__discount_past_1,0.010960004
cat__fabric_cloth,0.010330582
cat__category_patterned top,0.010273446
cat__shop_label_35,0.009804019
cat__shop_label_76,0.009724382
cat__fabric_hron,0.0096515445
cat__shop_label_7,0.008831732
cat__season_from_time_winter,0.0085831415
cat__shop_label_2,0.008539204
cat__fabric_lurex,0.008496891
cat__shop_label_41,0.008311692
cat__shop_label_14,0.008087505
cat__fabric_matte jersey,0.008017358
num__month,0.007985723
cat__shop_label_36,0.007892696
cat__season_from_time_spring,0.0077338396
cat__shop_label_19,0.007563246
cat__shop_label_22,0.0075369817
num__year,0.007286574
cat__shop_label_47,0.0072184084
cat__category_short cardigan,0.0069992347
cat__category_trapeze dress,0.006928304
cat__category_printed shirt,0.006700305
cat__shop_label_46,0.0066871108
cat__shop_label_29,0.0064414833
cat__category_culottes,0.006406331
cat__fabric_tulle,0.006104909
cat__shop_label_80,0.005990732
cat__color_white,0.0059054447
cat__fabric_nylon,0.005825276
cat__fabric_crepe,0.0057394155
cat__category_long dress,0.0057161166
cat__shop_label_0,0.0057117217
cat__fabric_foam rubber,0.0056006163
cat__fabric_polyviscous,0.0055746716
cat__category_doll dress,0.0054988884
cat__fabric_milano stitch,0.005464088
cat__category_medium cardigan,0.005449511
cat__color_brown,0.005365219
cat__shop_label_15,0.0053074234
cat__shop_label_57,0.0052526873
cat__shop_label_20,0.005218099
cat__shop_label_59,0.0051846066
cat__shop_label_10,0.005096662
cat__fabric_faux leather,0.0050242385
cat__category_sheath dress,0.004973298
cat__shop_label_86,0.004906541
cat__shop_label_73,0.0048461626
cat__shop_label_66,0.0048266323
cat__category_long sleeve,0.004688147
cat__shop_label_93,0.0046523097
cat__shop_label_30,0.0043083057
cat__shop_label_8,0.004289457
cat__shop_label_100,0.0042838086
cat__category_drop sleeve,0.004254407
cat__shop_label_3,0.0042466265
cat__fabric_technical,0.0042169723
