row_index,original_score,refined_score,score_delta,improved,n_suggestions,prompt_hints
0,1.6676428318023682,1.684867262840271,0.017224431037902832,True,1,use white instead of brown for the color
1,2.397891044616699,2.6640779972076416,0.2661869525909424,True,2,use white instead of black for the color; use spring instead of winter for the season_from_time
2,1.018449306488037,1.5331099033355713,0.5146605968475342,True,3,use tulle instead of hron for the fabric; use white instead of violet for the color; use printed shirt instead of long sleeve for the category
3,0.785198986530304,0.785198986530304,0.0,False,0,
4,1.4481419324874878,1.7764537334442139,0.3283118009567261,True,1,use printed shirt instead of culottes for the category
5,1.3419660329818726,1.4130829572677612,0.07111692428588867,True,2,use white instead of black for the color; use printed shirt instead of sheath dress for the category
6,1.0735799074172974,1.0735799074172974,0.0,False,0,
7,1.0707406997680664,1.1148544549942017,0.044113755226135254,True,1,use white instead of black for the color
8,0.641390860080719,0.641390860080719,0.0,False,0,
9,1.6768372058868408,1.7493364810943604,0.07249927520751953,True,1,use white instead of grey for the color
10,0.6808231472969055,0.893471360206604,0.2126482129096985,True,3,use tulle instead of nice for the fabric; use printed shirt instead of long sleeve for the category; use spring instead of winter for the season_from_time
11,0.7655604481697083,0.7655604481697083,0.0,False,0,
12,0.6062242388725281,0.9099380373954773,0.3037137985229492,True,3,use tulle instead of nice for the fabric; use printed shirt instead of long sleeve for the category; use spring instead of winter for the season_from_time
13,0.8466123342514038,1.003872275352478,0.15725994110107422,True,1,use tulle instead of polyviscous for the fabric
14,0.9113007187843323,1.0481561422348022,0.13685542345046997,True,1,use tulle instead of nice for the fabric
15,0.7330361604690552,0.7330361604690552,0.0,False,1,use 12 instead of 77 for the shop_label
16,1.0355069637298584,1.2170037031173706,0.1814967393875122,True,2,use tulle instead of nice for the fabric; use spring instead of winter for the season_from_time
17,0.654339611530304,1.0110845565795898,0.3567449450492859,True,3,use tulle instead of nice for the fabric; use white instead of brown for the color; use printed shirt instead of long sleeve for the category
18,2.1657798290252686,2.1657798290252686,0.0,False,0,
19,1.8072080612182617,1.8072080612182617,0.0,False,0,
20,0.34696850180625916,0.34696850180625916,0.0,False,0,
21,0.7079810500144958,0.7079810500144958,0.0,False,0,
22,0.7888720631599426,0.7888720631599426,0.0,False,0,
23,2.03377628326416,2.03377628326416,0.0,False,0,
24,0.8722454309463501,1.0880792140960693,0.21583378314971924,True,2,use tulle instead of cotton for the fabric; use printed shirt instead of culottes for the category
25,0.43523794412612915,0.43523794412612915,0.0,False,0,
26,0.6612881422042847,0.910029947757721,0.24874180555343628,True,1,use tulle instead of foam rubber for the fabric
27,0.7543472647666931,0.9104313850402832,0.1560841202735901,True,2,use tulle instead of nice for the fabric; use 12 instead of 56 for the shop_label
28,0.6530882120132446,0.959584653377533,0.30649644136428833,True,1,use printed shirt instead of culottes for the category
29,1.1960457563400269,1.0115350484848022,-0.1845107078552246,False,1,use spring instead of winter for the season_from_time
30,0.5742975473403931,0.7673537731170654,0.19305622577667236,True,2,use tulle instead of nice for the fabric; use 12 instead of 2 for the shop_label
31,0.7324173450469971,0.7324173450469971,0.0,False,1,use 12 instead of 77 for the shop_label
32,0.8762375712394714,0.8762375712394714,0.0,False,0,
33,1.6732887029647827,1.6732887029647827,0.0,False,1,use 12 instead of 31 for the shop_label
34,0.6167267560958862,0.7454500794410706,0.12872332334518433,True,1,use tulle instead of nice for the fabric
35,1.126722812652588,1.126722812652588,0.0,False,0,
36,1.751395583152771,1.7604479789733887,0.009052395820617676,True,1,use white instead of black for the color
37,0.9788269996643066,1.3410069942474365,0.3621799945831299,True,2,use tulle instead of cotton for the fabric; use printed shirt instead of long coat for the category
38,0.5656076669692993,0.8334972262382507,0.2678895592689514,True,3,use tulle instead of hron for the fabric; use white instead of grey for the color; use spring instead of winter for the season_from_time
39,1.0956313610076904,1.5150154829025269,0.4193841218948364,True,3,use tulle instead of nice for the fabric; use white instead of violet for the color; use printed shirt instead of long sleeve for the category
40,0.8859029412269592,1.2817630767822266,0.39586013555526733,True,3,use tulle instead of nice for the fabric; use 12 instead of 13 for the shop_label; use printed shirt instead of culottes for the category
41,1.192975640296936,1.478530764579773,0.2855551242828369,True,2,use white instead of blue for the color; use printed shirt instead of culottes for the category
42,1.8083199262619019,1.7044322490692139,-0.10388767719268799,False,2,use white instead of black for the color; use spring instead of winter for the season_from_time
43,1.8184809684753418,2.0176024436950684,0.19912147521972656,True,1,use printed shirt instead of culottes for the category
44,1.0088152885437012,1.2383787631988525,0.22956347465515137,True,3,use tulle instead of nice for the fabric; use white instead of brown for the color; use printed shirt instead of long sleeve for the category
45,1.2958816289901733,1.5004578828811646,0.2045762538909912,True,1,use white instead of grey for the color
46,0.8398342728614807,0.8398342728614807,0.0,False,0,
47,0.970651388168335,1.2446911334991455,0.27403974533081055,True,2,use printed shirt instead of culottes for the category; use 12 instead of 61 for the shop_label
48,1.2856426239013672,1.4168304204940796,0.1311877965927124,True,3,use tulle instead of hron for the fabric; use white instead of grey for the color; use printed shirt instead of long sleeve for the category
49,0.48682841658592224,0.49226686358451843,0.005438446998596191,True,1,use white instead of black for the color
50,0.41780218482017517,0.7535735368728638,0.3357713520526886,True,3,use tulle instead of nice for the fabric; use printed shirt instead of long sleeve for the category; use white instead of brown for the color
51,1.4027355909347534,1.4809808731079102,0.07824528217315674,True,2,use white instead of grey for the color; use printed shirt instead of culottes for the category
52,3.0305488109588623,3.0305488109588623,0.0,False,1,use 12 instead of 13 for the shop_label
53,1.3850347995758057,1.3673537969589233,-0.017681002616882324,False,1,use spring instead of winter for the season_from_time
