,mean_abs_shap
num__demand_rolling_mean_3,0.2562112824760843
num__demand_lag_1,0.1802909185595181
num__restock_past_1,0.17413082130595575
num__calendar_week,0.0603482148605166
num__demand_lag_3,0.042625692193368016
num__discount_past_1,0.03797243946289273
num__demand_rolling_std_3,0.03727630413630286
cat__fabric_georgette,0.020701882129069416
cat__season_from_time_summer,0.019190445721063588
cat__shop_label_12,0.018324301353422924
cat__fabric_viscose twill,0.017171813979804575
cat__color_black,0.015343644816838059
cat__category_long dress,0.013409808823069398
num__month,0.011420374854824876
cat__category_long sleeve,0.011070346900736331
num__price_past_1,0.010692914437342552
cat__category_doll dress,0.010418793314168215
cat__color_blue,0.010049949875794119
cat__fabric_bengaline,0.009740172110216373
num__year,0.009279197917006241
cat__season_SS19,0.009169097971594783
cat__shop_label_36,0.00826686297698907
cat__shop_label_46,0.007529374386055861
cat__shop_label_80,0.0071998115284819504
cat__fabric_silky satin,0.007190318577183643
cat__shop_label_18,0.0071575252474984155
cat__shop_label_30,0.006985476807345549
cat__category_sleeveless,0.006825849674212896
cat__fabric_cotton,0.006664276021553087
cat__shop_label_19,0.006567331362882396
cat__shop_label_3,0.00653846687321784
cat__fabric_embossed,0.005789344185369555
cat__season_SS17,0.0053408510131399455
cat__shop_label_29,0.004330210026807617
cat__category_trapeze dress,0.004098007018289354
cat__category_kimono dress,0.004042807663892745
cat__season_from_time_autumn,0.00399450154994629
cat__category_culottes,0.003918634289176225
cat__season_SS18,0.0036496611878273143
cat__category_drop sleeve,0.003493553350093134
cat__season_AW17,0.00346573232275814
cat__shop_label_47,0.0031555662835016846
cat__season_from_time_spring,0.002965037239686413
cat__color_white,0.0029565434149147678
cat__fabric_acrylic,0.0029160714801122595
cat__season_AW18,0.002731921897130633
cat__season_from_time_winter,0.002685435045658892
cat__color_red,0.002675602719152812
cat__shop_label_10,0.0026726878158457113
cat__color_green,0.0022367254296907506
cat__fabric_frise,0.0022098680514260195
cat__fabric_nice,0.0021267117573850556
cat__fabric_chambree,0.0019480932919730548
cat__color_grey,0.0019384305208246587
cat__fabric_satin cotton,0.0018260001112510508
cat__category_maxi,0.0017962589588860283
cat__shop_label_69,0.001779668603355094
cat__color_yellow,0.0017154951141317724
